     |  * |  2OP:1 |   1 |    |je              a b ?(label)|je              
     |  * |  2OP:2 |   2 |    |jl              a b ?(label)|jl              
     |  * |  2OP:3 |   3 |    |jg              a b ?(label)|jg              
     |  * |  2OP:4 |   4 |    |dec_chk         (variable) value ?(label)|dec_chk         
     |  * |  2OP:5 |   5 |    |inc_chk         (variable) value ?(label)|inc_chk         
     |  * |  2OP:6 |   6 |    |jin             obj1 obj2 ?(label)|jin             
     |  * |  2OP:7 |   7 |    |test            bitmap flags ?(label)|test            
   * |    |  2OP:8 |   8 |    |or              a b -> (result)|or              
   * |    |  2OP:9 |   9 |    |and             a b -> (result)|and             
     |  * |  2OP:10|   A |    |test_attr       object attribute ?(label)|test_attr       
     |    |  2OP:11|   B |    |set_attr        object attribute|set_attr        
     |    |  2OP:12|   C |    |clear_attr      object attribute|clear_attr      
     |    |  2OP:13|   D |    |store           (variable) value|store           
     |    |  2OP:14|   E |    |insert_obj      object destination|insert_obj      
   * |    |  2OP:15|   F |    |loadw           array word-index -> (result)|loadw           
   * |    |  2OP:16|  10 |    |loadb           array byte-index -> (result)|loadb           
   * |    |  2OP:17|  11 |    |get_prop        object property -> (result)|get_prop        
   * |    |  2OP:18|  12 |    |get_prop_addr   object property -> (result)|get_prop_addr   
   * |    |  2OP:19|  13 |    |get_next_prop   object property -> (result)|get_next_prop   
   * |    |  2OP:20|  14 |    |add             a b -> (result)|add             
   * |    |  2OP:21|  15 |    |sub             a b -> (result)|sub             
   * |    |  2OP:22|  16 |    |mul             a b -> (result)|mul             
   * |    |  2OP:23|  17 |    |div             a b -> (result)|div             
   * |    |  2OP:24|  18 |    |mod             a b -> (result)|mod             
   * |    |  2OP:25|  19 | 4  |call_2s         routine arg1 -> (result)|call_2s         
     |    |  2OP:26|  1A | 5  |call_2n         routine arg1|call_2n         
     |    |  2OP:27|  1B | 5  |set_colour      foreground background|set_colour
     |    |        |     | 6  |set_colour      foreground background window|set_colour
     |    |  2OP:28|  1C | 5  |throw           value stack-frame|throw           
     |  * |  1OP:128|  0 |    |jz              a ?(label)|jz              
   * |  * |  1OP:129|  1 |    |get_sibling     object -> (result) ?(label)|get_sibling     
   * |  * |  1OP:130|  2 |    |get_child       object -> (result) ?(label)|get_child       
   * |    |  1OP:131|  3 |    |get_parent      object -> (result)|get_parent      
   * |    |  1OP:132|  4 |    |get_prop_len    property-address -> (result)|get_prop_len    
     |    |  1OP:133|  5 |    |inc             (variable)|inc             
     |    |  1OP:134|  6 |    |dec             (variable)|dec             
     |    |  1OP:135|  7 |    |print_addr      byte-address-of-string|print_addr      
   * |    |  1OP:136|  8 | 4  |call_1s         routine -> (result)|call_1s         
     |    |  1OP:137|  9 |    |remove_obj      object|remove_obj      
     |    |  1OP:138|  A |    |print_obj       object|print_obj       
     |    |  1OP:139|  B |    |ret             value|ret             
     |    |  1OP:140|  C |    |jump            ?(label)|jump            
     |    |  1OP:141|  D |    |print_paddr     packed-address-of-string|print_paddr     
   * |    |  1OP:142|  E |    |load            (variable) -> (result)|load            
   * |    |  1OP:143|  F | 1  |not             value -> (result)|not             
     |    |         |    | 5  |call_1n         routine|call_1n         
     |    |  0OP:176|  0 |    |rtrue|rtrue
     |    |  0OP:177|  1 |    |rfalse|rfalse
     |    |  0OP:178|  2 |    |print           (literal-string)|print           
     |    |  0OP:179|  3 |    |print_ret       (literal-string)|print_ret       
     |    |  0OP:180|  4 | 1  |nop|nop
     |  * |  0OP:181|  5 | 1  |save            ?(label)|save            
     |    |         |    | 4  |save            -> (result)|save            
     |    |         |    | 5  |[illegal]|
     |  * |  0OP:182|  6 | 1  |restore         ?(label)|restore         
     |    |         |    | 4  |restore         -> (result)|restore         
     |    |         |    | 5  |[illegal]|
     |    |  0OP:183|  7 |    |restart|restart
     |    |  0OP:184|  8 |    |ret_popped|ret_popped
     |    |  0OP:185|  9 | 1  |pop|pop
   * |    |         |    |5/6 |catch           -> (result)|catch           
     |    |  0OP:186|  A |    |quit|quit
     |    |  0OP:187|  B |    |new_line|new_line
     |    |  0OP:188|  C | 3  |show_status|show_status
     |    |         |    | 4  |[illegal]|
     |  * |  0OP:189|  D | 3  |verify          ?(label)|verify          
     |    |  0OP:190|  E | 5  |[first byte of extended opcode]|extended
     |  * |  0OP:191|  F | 5  |piracy          ?(label)|piracy          
   * |    |  VAR:224|  0 | 1  |call            routine ...0 to 3 args... -> (result)|call            
     |    |         |    | 4  |call_vs         routine ...0 to 3 args... -> (result)|call_vs         
     |    |  VAR:225|  1 |    |storew          array word-index value|storew          
     |    |  VAR:226|  2 |    |storeb          array byte-index value|storeb          
     |    |  VAR:227|  3 |    |put_prop        object property value|put_prop        
     |    |  VAR:228|  4 | 1  |sread           text parse|sread           
     |    |         |    | 4  |sread           text parse time routine|sread           
   * |    |         |    | 5  |aread           text parse time routine -> (result)|aread           
     |    |  VAR:229|  5 |    |print_char      output-character-code|print_char      
     |    |  VAR:230|  6 |    |print_num       value|print_num       
   * |    |  VAR:231|  7 |    |random          range -> (result)|random          
     |    |  VAR:232|  8 |    |push            value|push            
     |    |  VAR:233|  9 | 1  |pull            (variable)|pull            
   * |    |         |    | 6  |pull            stack -> (result)|pull            
     |    |  VAR:234|  A | 3  |split_window    lines|split_window    
     |    |  VAR:235|  B | 3  |set_window      window|set_window      
   * |    |  VAR:236|  C | 4  |call_vs2        routine ...0 to 7 args... -> (result)|call_vs2        
     |    |  VAR:237|  D | 4  |erase_window    window|erase_window    
     |    |  VAR:238|  E | 4  |erase_line      value|erase_line      
     |    |         |    | 6  |erase_line      pixels|erase_line      
     |    |  VAR:239|  F | 4  |set_cursor      line column|set_cursor      
     |    |         |    | 6  |set_cursor      line column window|set_cursor      
     |    |  VAR:240| 10 | 4  |get_cursor      array|get_cursor      
     |    |  VAR:241| 11 | 4  |set_text_style  style|set_text_style  
     |    |  VAR:242| 12 | 4  |buffer_mode     flag|buffer_mode     
     |    |  VAR:243| 13 | 3  |output_stream   number|output_stream   
     |    |         |    | 5  |output_stream   number table|output_stream   
     |    |         |    | 6  |output_stream   number table width|output_stream   
     |    |  VAR:244| 14 | 3  |input_stream    number|input_stream    
     |    |  VAR:245| 15 | 5  |sound_effect    number effect volume routine|sound_effect    
   * |    |  VAR:246| 16 | 4  |read_char       1 time routine -> (result)|read_char       
   * |   *|  VAR:247| 17 | 4  |scan_table      x table len form -> (result)|scan_table      
   * |    |  VAR:248| 18 | 5  |not             value -> (result)|not             
     |    |  VAR:249| 19 | 5  |call_vn         routine ...up to 3 args...|call_vn         
     |    |  VAR:250| 1A | 5  |call_vn2        routine ...up to 7 args...|call_vn2        
     |    |  VAR:251| 1B | 5  |tokenise        text parse dictionary flag|tokenise        
